,Faculty,Position,Gender,Management,Area,Excellence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,He Ying,Associate Professor,M,N,Computer Graphics,10,[],[],[],[],[],[],[],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],"['Luo Jun', 'Seah Hock Soon']","['Seah Hock Soon', 'Luo Jun']","['Kwoh Chee Keong', 'Luo Jun', 'Miao Chunyan']",['Luo Jun'],['Luo Jun'],"['Miao Chunyan', 'Luo Jun']",['Luo Jun'],['Luo Jun'],"['Zheng Jianmin', 'Luo Jun']",[],[]
21,Huang Shell Ying,Senior Lecturer,F,N,Distributed Systems,0,['Cai Wentong'],['Cai Wentong'],[],[],['Lee Bu Sung Francis'],[],['Cai Wentong'],[],[],[],"['Shen Zhiqi', 'Miao Chunyan']",['Miao Chunyan'],[],[],[],[],[],[],[],[],['Cai Wentong'],['Cai Wentong']
22,Hui Siu Cheung,Associate Professor,M,N,Information Retrieval,6,['Yeo Chai Kiat'],"['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Lau Chiew Tong']",[],[],[],[],[],[],[],[],[],[],['Cong Gao'],[],[],[],['Luu Anh Tuan'],['Luu Anh Tuan'],['Luu Anh Tuan'],"['Luu Anh Tuan', 'Zhao Jun', 'Yeo Chai Kiat']",['Yeo Chai Kiat'],"['Luu Anh Tuan', 'Yeo Chai Kiat']"
23,Joty Shafiq Rayhan,Assistant Professor,M,N,AI/ML,6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Cai Jianfei'],"['Cong Gao', 'Cai Jianfei', 'Sun Aixin']","['Cai Jianfei', 'Sourav S Bhowmick']","['Cai Jianfei', 'Miao Chunyan']",[]
24,Ke Yiping Kelly,Assistant Professor,F,N,AI/ML,5,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Ong Yew Soon'],['Ong Yew Soon'],[],['Ong Yew Soon'],[]
25,Kong Wai-Kin Adams,Associate Professor,M,N,Computer Vision,2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Lam Kwok Yan'],"['Lam Kwok Yan', 'Tan Rui']",['Lam Kwok Yan'],[]
26,Kwoh Chee Keong,Associate Professor,M,N,Bioinformatics,1,[],[],[],[],[],[],['Ong Yew Soon'],[],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],['Ong Yew Soon'],"['He Ying', 'Ong Yew Soon']",['Guan Cuntai'],['Lin Weisi'],['Lin Weisi'],[],[],[],[],[]
27,Lam Kwok Yan,Professor,M,N,Cyber Security,2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Anupam Chattopadhyay'],"['Anupam Chattopadhyay', 'Kong Wai-Kin Adams', 'Sourav Sen Gupta']","['Kong Wai-Kin Adams', 'Zhao Jun', 'Dusit Niyato', 'Yu Han']","['Kong Wai-Kin Adams', 'Dusit Niyato', 'Zhao Jun']","['Zhao Jun', 'Dusit Niyato', 'Ng Wee Keong']"
28,Lam Siew Kei,Assistant Professor,M,N,Computer Architecture,2,['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],['Thambipillai Srikanthan'],[]
29,Lana Obraztsova ,Assistant Professor,F,N,AI/ML,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Zinovi Rabinovich'],['Zinovi Rabinovich'],['Zinovi Rabinovich'],['Zinovi Rabinovich'],[],['Zinovi Rabinovich'],[],"['Zinovi Rabinovich', 'Bo An']"
30,Lau Chiew Tong,Associate Professor,M,N,Computer Networks,1,"['Lee Bu Sung Francis', 'Vun Chan Hua Nicholas']","['Hui Siu Cheung', 'Yeo Chai Kiat', 'Lee Bu Sung Francis']",['A S Madhukumar'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],"['Lee Bu Sung Francis', 'Cai Jianfei']",['Cai Jianfei'],['Guan Cuntai'],"['Lin Weisi', 'Lee Bu Sung Francis', 'Guan Cuntai']","['Lin Weisi', 'Lee Bu Sung Francis', 'A S Madhukumar', 'Chan Syin']","['Lin Weisi', 'Lee Bu Sung Francis', 'Chan Syin']","['Lin Weisi', 'Lee Bu Sung Francis', 'Chan Syin']","['Chan Syin', 'Lin Weisi', 'Lee Bu Sung Francis']","['Chan Syin', 'Yeo Chai Kiat', 'Lee Bu Sung Francis']",['Chan Syin'],"['Yeo Chai Kiat', 'Lee Bu Sung Francis', 'Chan Syin']","['Yeo Chai Kiat', 'Lee Bu Sung Francis']",[],['Chan Syin'],['Yeo Chai Kiat']
31,Lee Bu Sung Francis,Associate Professor,M,N,Computer Networks,1,"['Yeo Chai Kiat', 'Lau Chiew Tong', 'Vun Chan Hua Nicholas', 'Cai Wentong']","['Yeo Chai Kiat', 'Hui Siu Cheung', 'Chia Liang Tien Clement', 'Cai Wentong', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Cai Wentong']","['Cai Wentong', 'Lau Chiew Tong', 'Yeo Chai Kiat', 'Chia Liang Tien Clement']","['Yeo Chai Kiat', 'Cai Wentong', 'Chia Liang Tien Clement', 'Ong Yew Soon', 'Huang Shell Ying', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Tang Xueyan', 'Chia Liang Tien Clement', 'Cai Wentong', 'Ong Yew Soon', 'Lau Chiew Tong']","['Tang Xueyan', 'Yeo Chai Kiat', 'Ong Yew Soon', 'Cai Wentong', 'Miao Chunyan', 'Chia Liang Tien Clement', 'Deepu Rajan', 'Cai Jianfei', 'Lau Chiew Tong']","['Ong Yew Soon', 'Yeo Chai Kiat', 'Cai Wentong', 'Lau Chiew Tong']","['Miao Chunyan', 'Yeo Chai Kiat', 'Tang Xueyan']","['Cai Wentong', 'Miao Chunyan', 'Shen Zhiqi', 'Yeo Chai Kiat', 'Dusit Niyato']","['Yeo Chai Kiat', 'Tang Xueyan', 'Lin Weisi', 'Lau Chiew Tong', 'Dusit Niyato']","['Lin Weisi', 'Lau Chiew Tong', 'Liang Qianhui', 'Tang Xueyan', 'Yeo Chai Kiat', 'Dusit Niyato']","['Yeo Chai Kiat', 'Lin Weisi', 'Lau Chiew Tong', 'Dusit Niyato', 'Liang Qianhui', 'Anwitaman Datta', 'Sun Aixin']","['Yeo Chai Kiat', 'Lin Weisi', 'Lau Chiew Tong', 'Chng Eng Siong']","['Liang Qianhui', 'Lin Weisi', 'Lau Chiew Tong', 'Dusit Niyato', 'Tang Xueyan', 'Yeo Chai Kiat']","['Yeo Chai Kiat', 'Lau Chiew Tong']","['Deepu Rajan', 'Yeo Chai Kiat']","['Yeo Chai Kiat', 'Lau Chiew Tong']","['Yeo Chai Kiat', 'Lau Chiew Tong', 'Miao Chunyan', 'Vun Chan Hua Nicholas', 'Oh Hong Lye', 'Cai Wentong']","['Deepu Rajan', 'Cai Wentong', 'Chia Liang Tien Clement', 'Yeo Chai Kiat']","['Yeo Chai Kiat', 'Cai Wentong', 'Chan Syin']","['Cai Wentong', 'Yeo Chai Kiat']"
32,Li Fang Flora,Senior Lecturer,F,N,Computer Vision,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
33,Li Mo,Associate Professor,M,N,Computer Networks,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Sun Chengzheng'],[],[],[],[],['Zhao Jun'],[],[]
34,Li Yi,Assistant Professor,M,N,Software Engg,4,[],[],[],[],[],[],[],[],[],[],[],[],['Liu Yang'],[],['Liu Yang'],[],[],[],['Liu Yang'],"['Lin Shang-Wei', 'Liu Yang']",['Liu Yang'],[]
35,Liang Qianhui,Lecturer,F,N,AI/ML,1,[],[],[],[],[],[],[],[],[],[],[],['Lee Bu Sung Francis'],['Lee Bu Sung Francis'],[],['Lee Bu Sung Francis'],[],[],[],[],[],[],[]
36,Lin Feng,Associate Professor,M,N,Bioinformatics,0,['Seah Hock Soon'],['Seah Hock Soon'],[],['Seah Hock Soon'],['Seah Hock Soon'],[],['Seah Hock Soon'],[],[],"['Seah Hock Soon', 'Qian Kemao']",['Seah Hock Soon'],[],"['Qian Kemao', 'Seah Hock Soon']",[],"['Qian Kemao', 'Seah Hock Soon']","['Seah Hock Soon', 'Qian Kemao']",['Seah Hock Soon'],"['Qian Kemao', 'Seah Hock Soon']",['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],[]
37,Lin Guosheng,Assistant Professor,M,N,Computer Vision,20,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Lin Weisi', 'Pan Sinno Jialin', 'Cai Jianfei']","['Cai Jianfei', 'Lin Weisi', 'Tan Rui']","['Lin Weisi', 'Cai Jianfei', 'Miao Chunyan', 'Tan Rui']",['Lin Weisi']
38,Lin Shang-Wei,Assistant Professor,M,N,Software Engg,1,[],[],[],[],[],[],[],[],[],[],[],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],['Liu Yang'],"['Liu Yang', 'Li Yi']","['Liu Yang', 'Lin Weisi']",['Liu Yang']
39,Lin Weisi,Professor,M,N,Multimedia,12,[],[],[],[],[],[],[],[],['Cai Jianfei'],['Cai Jianfei'],"['Lau Chiew Tong', 'Lee Bu Sung Francis', 'Chia Liang Tien Clement']","['Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cai Jianfei', 'Zheng Jianmin', 'Seah Hock Soon']","['Seah Hock Soon', 'Chia Liang Tien Clement', 'Lee Bu Sung Francis', 'Lau Chiew Tong', 'Cai Jianfei']","['Lau Chiew Tong', 'Lee Bu Sung Francis', 'Thambipillai Srikanthan', 'Seah Hock Soon']","['Seah Hock Soon', 'Lau Chiew Tong', 'Lee Bu Sung Francis']","['Kwoh Chee Keong', 'Cai Jianfei', 'Seah Hock Soon']","['Kwoh Chee Keong', 'Wen Yonggang', 'Ng Wee Keong']",['Ng Wee Keong'],['Lin Guosheng'],['Lin Guosheng'],"['Lin Guosheng', 'Lin Shang-Wei', 'Liu Yang']",['Lin Guosheng']
40,Liu Weichen,Assistant Professor,M,N,Computer Architecture,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Zhang Hanwang'],[]
41,Liu Yang,Professor,M,N,Software Engg,34,[],[],[],[],[],[],[],[],[],[],[],['Lin Shang-Wei'],"['Luu Anh Tuan', 'Lin Shang-Wei', 'Li Yi']","['Lin Shang-Wei', 'Cai Wentong']","['Li Yi', 'Lin Shang-Wei', 'Zhang Jie', 'Sun Chengzheng']","['Zhang Jie', 'Lin Shang-Wei']","['Cai Wentong', 'Zhang Jie', 'Lin Shang-Wei']","['Zhang Jie', 'Lin Shang-Wei']","['Lin Shang-Wei', 'Ong Yew Soon', 'Li Yi']","['Zhang Jie', 'Lin Shang-Wei', 'Li Yi']","['Lin Shang-Wei', 'Zhang Jie', 'Zhang Tianwei', 'Li Yi', 'Lin Weisi']",['Lin Shang-Wei']
42,Loke Yuan Ren,Lecturer,M,N,Computer Vision,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
43,Long Cheng,Assistant Professor,M,N,Data Mining,9,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Cong Gao'],['Cong Gao'],['Cong Gao'],[]
44,Loy Chen Change,Associate Professor,M,N,Computer Vision,45,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Ong Yew Soon', 'Yeo Chai Kiat']",[]
45,Lu Shijian,Assistant Professor,M,N,Computer Vision,8,[],[],[],[],[],[],[],[],['Guan Cuntai'],[],[],[],[],[],['Cai Jianfei'],['Cai Jianfei'],"['Cai Jianfei', 'Zheng Jianmin']",['Cai Jianfei'],[],[],[],[]
46,Luo Jun,Associate Professor,M,N,Computer Networks,0,[],[],[],[],[],[],[],[],[],[],[],['He Ying'],['He Ying'],['He Ying'],['He Ying'],['He Ying'],['He Ying'],"['He Ying', 'Pan Sinno Jialin', 'Dusit Niyato']","['Pan Sinno Jialin', 'Dusit Niyato', 'He Ying']","['Dusit Niyato', 'He Ying', 'Pan Sinno Jialin', 'Sun Aixin']",[],[]
47,Mahardhika Pratama,Assistant Professor,M,N,AI/ML,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Tan Ah Hwee', 'Ong Yew Soon']","['Ong Yew Soon', 'Zhang Jie']","['Ong Yew Soon', 'Zhang Jie']",[]
48,Mohamed M. Sabry,Assistant Professor,M,N,Computer Architecture,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
49,Ng Wee Keong,Associate Professor,M,N,Cyber Security,0,['Sourav S Bhowmick'],['Sourav S Bhowmick'],"['Sourav S Bhowmick', 'Sun Aixin']","['Sourav S Bhowmick', 'Sun Aixin']","['Sourav S Bhowmick', 'Sun Aixin']",['Sun Aixin'],[],[],['Anwitaman Datta'],[],['Anwitaman Datta'],['Zhang Jie'],"['Zhang Jie', 'Wen Yonggang']",[],[],[],['Lin Weisi'],['Lin Weisi'],['Owen Noel Newton Fernando'],[],['Sourav S Bhowmick'],"['Lam Kwok Yan', 'Sourav S Bhowmick']"
50,Oh Hong Lye,Lecturer,M,N,Computer Architecture,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Lee Bu Sung Francis', 'Yeo Chai Kiat', 'Vun Chan Hua Nicholas']",[],[],[]
51,Owen Noel Newton Fernando,Senior Lecturer,M,N,HCI,6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Ng Wee Keong', 'Rajapakse Jagath Chandana']","['Anupam Chattopadhyay', 'Seah Hock Soon']",[],[]
52,Pan Sinno Jialin,Associate Professor,M,N,AI/ML,7,[],[],[],[],[],[],[],[],[],[],[],['Guan Cuntai'],[],[],[],[],[],['Luo Jun'],"['Luo Jun', 'Bo An', 'Miao Chunyan', 'Lin Guosheng']","['Luo Jun', 'Sun Aixin', 'Miao Chunyan']",[],['Miao Chunyan']
53,Qian Kemao,Associate Professor,M,N,Computer Vision,2,[],[],[],[],[],[],['Seah Hock Soon'],[],[],"['Lin Feng', 'Seah Hock Soon']",[],[],"['Lin Feng', 'Seah Hock Soon']",[],"['Lin Feng', 'Seah Hock Soon']","['Lin Feng', 'Seah Hock Soon']",[],"['Lin Feng', 'Seah Hock Soon']",[],[],[],[]
54,Quek Hiok Chai,Associate Professor,M,N,AI/ML,0,[],[],[],[],[],[],['Douglas Leslie Maskell'],['Douglas Leslie Maskell'],['Guan Cuntai'],['Guan Cuntai'],"['Douglas Leslie Maskell', 'Guan Cuntai']","['Douglas Leslie Maskell', 'Guan Cuntai']",['Guan Cuntai'],"['Guan Cuntai', 'Douglas Leslie Maskell']",['Guan Cuntai'],"['Guan Cuntai', 'Douglas Leslie Maskell']",['Deepu Rajan'],"['Goh Wooi Boon', 'Deepu Rajan', 'Chia Liang Tien Clement', 'Tan Ah Hwee', 'Miao Chunyan']","['Tan Ah Hwee', 'Miao Chunyan', 'Deepu Rajan']",['Deepu Rajan'],"['Guan Cuntai', 'Deepu Rajan']",[]
55,Rajapakse Jagath Chandana,Professor,M,N,Bioinformatics,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Owen Noel Newton Fernando', 'Erik Cambria']",[],[],[]
56,Seah Hock Soon,Professor,M,Y,Computer Graphics,0,['Lin Feng'],['Lin Feng'],[],['Lin Feng'],"['Alexei Sourin', 'Lin Feng']",['Zheng Jianmin'],"['Lin Feng', 'Qian Kemao']",['He Ying'],['He Ying'],"['He Ying', 'Lin Feng', 'Qian Kemao']","['Lin Feng', 'He Ying', 'Zheng Jianmin', 'Cai Wentong']","['Lin Weisi', 'He Ying']","['He Ying', 'Lin Feng', 'Qian Kemao', 'Lin Weisi']","['Cong Gao', 'Lin Weisi']","['Lin Feng', 'Qian Kemao', 'Lin Weisi']","['Lin Weisi', 'Lin Feng', 'Qian Kemao']",['Lin Feng'],"['Lin Feng', 'Qian Kemao', 'Thambipillai Srikanthan']","['Lin Feng', 'Zheng Jianmin']","['Zheng Jianmin', 'Lin Feng', 'Owen Noel Newton Fernando', 'Anupam Chattopadhyay']",['Lin Feng'],[]
57,Smitha K G,Lecturer,F,N,Computer Architecture,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
58,Sourav S Bhowmick,Associate Professor,M,N,Data Management,29,['Ng Wee Keong'],['Ng Wee Keong'],['Ng Wee Keong'],['Ng Wee Keong'],"['Ng Wee Keong', 'Chia Liang Tien Clement']",['Chia Liang Tien Clement'],"['Chia Liang Tien Clement', 'Sun Aixin']",['Chia Liang Tien Clement'],[],['Sun Aixin'],['Sun Aixin'],['Sun Aixin'],['Sun Aixin'],['Sun Aixin'],"['Sun Aixin', 'Cong Gao']",['Sun Aixin'],"['Cong Gao', 'Miao Chunyan']","['Arijit Khan', 'Cong Gao']","['Cong Gao', 'Sun Aixin']","['Zhao Jun', 'Joty Shafiq Rayhan']","['Cong Gao', 'Ng Wee Keong']",['Ng Wee Keong']
59,Sourav Sen Gupta,Lecturer,M,N,Cyber Security,0,[],[],[],[],[],[],[],[],[],[],[],['Anupam Chattopadhyay'],['Anupam Chattopadhyay'],['Anupam Chattopadhyay'],[],[],[],[],"['Anupam Chattopadhyay', 'Lam Kwok Yan', 'Ong Yew Soon']",['Anupam Chattopadhyay'],['Arijit Khan'],[]
60,Sun Aixin,Associate Professor,M,N,Information Retrieval,30,[],[],['Ng Wee Keong'],['Ng Wee Keong'],['Ng Wee Keong'],['Ng Wee Keong'],"['Tang Xueyan', 'Sourav S Bhowmick']",[],['Anwitaman Datta'],"['Anwitaman Datta', 'Sourav S Bhowmick']","['Sourav S Bhowmick', 'Anwitaman Datta']","['Sourav S Bhowmick', 'Anwitaman Datta']","['Cong Gao', 'Anwitaman Datta', 'Sourav S Bhowmick', 'Lee Bu Sung Francis']","['Anwitaman Datta', 'Cong Gao', 'Sourav S Bhowmick']","['Sourav S Bhowmick', 'Cong Gao', 'Miao Chunyan']","['Sourav S Bhowmick', 'Cong Gao', 'Miao Chunyan']",['Cong Gao'],"['Erik Cambria', 'Cong Gao']","['Tang Xueyan', 'Cong Gao', 'Joty Shafiq Rayhan', 'Sourav S Bhowmick']","['Luo Jun', 'Pan Sinno Jialin', 'Tang Xueyan', 'Cong Gao']","['Tang Xueyan', 'Chng Eng Siong']",[]
61,Sun Chengzheng,Professor,M,N,HCI,0,[],[],['Cai Wentong'],[],[],[],['Cai Wentong'],[],[],[],[],[],[],[],"['Li Mo', 'Liu Yang']",[],[],[],[],[],[],['Cai Wentong']
